idx,lower,upper,steps,time
362, -8.90291452407837, -6.512048870461072, 1, 0.816794992
363, -0.7625088691711426, 0.49328654061917243, 49, 60.447895721
364, -2.7976720333099365, 0.4371690112082929, 45, 61.191200102
365, -4.204893112182617, -2.3164374072669247, 1, 0.802704793
366, -5.7615966796875, -3.5124724282278845, 1, 0.83120795
367, -1.355154275894165, 2.869204393096519, 46, 60.835219287
368, -4.539247274398804, -2.6427914481521966, 1, 0.757867931
369, -5.21730899810791, -0.14091361560656157, 1, 0.848901871
370, -4.293081521987915, -2.704637508438337, 1, 0.839231075
371, -4.269351005554199, -1.5179388625705972, 1, 0.675326927
372, -5.257309198379517, -4.083691614109683, 1, 0.812110486
373, -2.3291518688201904, -0.5987335980292507, 1, 0.743893837
374, -3.2894647121429443, -1.0337175762752633, 1, 0.828646691
375, -5.745492696762085, -4.666317220227575, 1, 0.825000642
376, -9.124390363693237, -8.307782111621043, 1, 0.801382838
377, 1.4848237037658691, 5.6600569476826355, 1, 0.836576469
378, -5.387367248535156, -1.1632911004665, 1, 0.835680196
379, -7.094151854515076, -2.791223511380614, 1, 0.772032286
380, -4.802556276321411, -2.884607342077767, 1, 0.838286108
381, -2.699313163757324, -1.3348272482384544, 1, 0.817508509
382, 0.31417369842529297, 4.004170447013383, 1, 0.699676251
383, -3.6581294536590576, -2.3933859854399255, 1, 0.800310676
384, -5.178618431091309, -0.9854389660642449, 1, 0.696856198
385, -7.99494743347168, -6.176988415733875, 1, 0.75732542
386, -5.854633569717407, -1.3863089879569257, 1, 0.85875292
387, -2.6139469146728516, 0.9776356177816377, 48, 61.014324196
388, -4.832514762878418, -1.87421579603786, 1, 0.845001445
389, -4.993885636329651, 0.6119026209895235, 45, 60.6909698
390, -2.1882119178771973, 1.378876459663207, 49, 60.689649361
391, -7.221168279647827, -6.154439430088361, 1, 0.801497299
392, -0.3315396308898926, 0.7469078769710176, 46, 60.516260109
393, -6.077395439147949, -0.521670929369316, 1, 0.84596711
394, -4.55417799949646, -0.7137574476086668, 1, 0.853702566
395, -1.7412524223327637, 1.7886206581468782, 47, 60.28729182
396, -5.391947984695435, -3.9351448735998127, 1, 0.753265307
397, -5.9386146068573, -3.4573510432896004, 1, 0.828647368
398, -3.790832042694092, -1.384509210920772, 1, 0.757743574
399, -3.9551782608032227, -2.3892316920524492, 1, 0.839101066
400, -8.115809321403503, -7.026450856534444, 1, 0.815597441
401, -3.511366367340088, -2.178020383770107, 1, 0.736092132
402, -4.2335145473480225, -2.0910026223221045, 1, 0.844016524
403, -3.5984766483306885, -2.7294920333960775, 1, 0.832816668
404, -2.601116180419922, 1.2006851466895827, 45, 60.160459111
405, -4.249576568603516, -3.174933303215893, 1, 0.821149088
406, -3.213128089904785, -1.382204001082226, 1, 0.737740642
407, 0.16009306907653809, 1.2752442864417248, 1, 0.811595576
408, -4.210108280181885, -3.1951864922024553, 1, 0.815084276
409, -6.504247665405273, -5.3585129668079725, 1, 0.81986469
410, -5.1470866203308105, -2.5373936563892605, 1, 0.846067732
411, -5.653002738952637, -4.468028390664685, 1, 0.614170321
412, -5.099368572235107, -2.752910828441455, 1, 0.846593925
414, -6.390708923339844, -5.379880776181828, 1, 0.675207443
415, -5.652295112609863, -3.0997654527590144, 1, 0.830033644
416, -5.025773763656616, -2.1093678115545007, 1, 0.691975265
417, -7.581039667129517, -4.486471725459152, 1, 0.770105806
418, 1.232144832611084, 4.684705425316757, 1, 0.701512195
419, -3.42059326171875, -2.110676915729695, 1, 0.835866328
420, -7.2461748123168945, -3.513151588126801, 1, 0.849474667
421, -2.422485113143921, 4.477187337486539, 45, 60.716266728
422, 0.7371029853820801, 2.5624228175025823, 1, 0.844812607
423, -4.92603063583374, -2.44262561644693, 1, 0.819818041
424, -5.365777015686035, -4.455063905117057, 1, 0.741589625
425, -5.185455322265625, -3.7295671445545238, 1, 0.838522366
426, -5.583424091339111, -1.4181397630684716, 1, 0.836152471
427, -4.794711351394653, -2.036953413290096, 1, 0.841834457
428, -6.942205786705017, -3.7527986965657876, 1, 0.848232732
429, -0.6857748031616211, 1.4924282900071502, 44, 61.037487769
430, -4.314488649368286, -1.6679445210722923, 1, 0.767184614
431, -5.3242573738098145, -1.7379989786620431, 1, 0.87098759
432, -4.671964168548584, -2.0781544699564742, 1, 0.884986187
433, -3.4963927268981934, 1.055492251635921, 43, 60.39903023
434, -6.13042688369751, -4.171003242870727, 1, 0.75688998
435, -4.44007420539856, -0.8924888661735704, 1, 0.877198222
436, 0.3543086051940918, 2.2258503885496648, 1, 0.836359928
437, -4.534028053283691, -3.2663601571607983, 1, 0.781358002
438, -5.398244142532349, -4.888562957567917, 1, 0.816702555
439, -5.063502788543701, -2.934126767366597, 1, 0.717752116
440, -4.97992467880249, -0.6272938738341995, 1, 0.874094193
441, -6.54985499382019, -6.242099634011681, 1, 0.809814949
442, -6.521116733551025, -5.714772495683875, 1, 0.764339046
443, -8.238360404968262, -6.835539684177972, 1, 0.849554842
444, 1.3722496032714844, 6.399584132629347, 1, 0.893036891
445, -1.5385313034057617, -0.4907843671474381, 1, 0.844855423
447, -2.691359043121338, -1.7783898423486224, 1, 0.849641008
448, -3.8924129009246826, -2.0324244484828413, 1, 0.838857494
451, -3.199619770050049, -1.9789461896467038, 1, 0.759619153
452, -6.144286155700684, -5.173025298547034, 1, 0.840604063
453, -3.218632221221924, -0.35592171133365547, 1, 0.882244082
454, -4.459576368331909, -3.2633818305553173, 1, 0.84857816
455, -3.9817912578582764, -1.3880491921638205, 1, 0.695102117
456, -5.6870763301849365, -1.9824666918659286, 1, 0.866454821
457, -3.0946130752563477, 0.5092969399054166, 45, 61.425608278
458, -2.3962769508361816, 1.9822336428111322, 48, 60.194486342
